description,specialization,lang
Потрібно виконати 33 задачі Крайній термін на понеділок 21.06 Завдання відправлю у особисті повідомлення Viber 0673193107,Технические дисциплины,uk
". Налаштувати інтерфейс магазину, зробити стандартні налаштування .",Интернет-магазины,uk
Шукаю помічника зі Львова який хоче отримати досвід в сфері діджитал і маркетингу  Тг @KChapran,Копирайтинг,uk
Потрібно зробити вайбер розсилку на 500-800 контактів  Пропозицію ціни в тг @KChapran,CPA-маркетинг,uk
"Потрібно зробити анімовані відео фізкультхвилинки.  Ось такого плану https://www.youtube.com/channel/UCfXMvbY_HWtyROAumWTNAOQ/videos   Назви персонажів та музику надам.  В планах реалізувати 30 руханок для дітей школи. Тому 1 відео робимо тут через безпечну угоду, а далі можна працювати на довірливій основі.   Тривалість відео 1:30 хв (без аутро, котре розміщене у файлах нижче). Ціна 1 відео 500 грн (пропозиції за 1000 + грн взагалі не розглядаю)  Для першого відео завдання створити руханку з лисичкою. Лисичка мусить танцювати на зимовому фоні, поряд має стояти вказівник на якому зображений логотим сайту. Всі матеріали для роботи за посиланням - https://drive.google.com/drive/folders/1k9Of0Ce_WCZIy2XhbmfL_1e5mcyD2mYC?usp=sharing",Видеодизайн,uk
Є необхідність створити фільтри та організувати правильне наповнення меблевого сайту на бітріксі. Ціна договірна. Цікавить довготривала співпраця.,Интернет-магазины,uk
"Потрібно розробити дизайн бокових сторін торгового (вендінгового) автомату.  На обох сторонах зображення ідентичне. Повинно бути зображений слоган (його я напишу), пальма, млинець на шезлонзі. Можлива заміна, або доповнення елементів, але повинні залишатись пальма і млинець. Головне в зображенні передати настрій відпочинку, релаксу і тп. Кольори тропічні: жовтий фон, елементи зелені, червоні, помаранчеві.",Полиграфический дизайн,uk
Покращити і оновити існуючий логотип фірми.,Мероприятия/Репортажи,uk
"Необхідно розробити модуль калькулятора вхідних металевих дверей, який би автоматично розраховував вартість замовлення. Ми компанія, яка займається реалізацією вхідних металевих дверей.",Управление проектами разработки,uk
"Ми пропонуємо:   Можливість працювати з усіх регіонів України; Повну зайнятість в форматі домашнього офісу (повний робочий день 9.00-18.00); Віддалену роботу; Реальну, яка залежить від виконаної роботи (2000-9000 грн); Дружню і професійну атмосферу. Для цього необхідно : - добре володіння комп'ютером / інтернетом  (наявність комп'ютера або ноутбука обов'язкова),  - величезне бажання працювати і заробляти. Особисті якості - активність, комунікабельність, ВІДПОВІДАЛЬНІСТЬ,  вміння організовувати свою роботу і роботу інших людей Грамотна мова (російська, українська) Готовність до навчання, бажання розвиватися   Що  доведеться робити?  Пошук і залучення таємних покупців (по області)  для виконання оціночних візитів.  Для цього ми використовуємо як існуючу базу,  так і займаємося рекрутингом нових таємних покупців;  Призначення і контроль візитів таємних покупців.  Для здійснення завдань забезпечуємо  IP-телефонією, корпоративною електронною поштою,  безкоштовним навчанням, оплачуваним стажуванням.",Менеджер проектов,uk
"Прошу  вибачення у всіх хто відгукнувся. Поки  замовник попросив почекати 2-3 дні. Як тільки буде прийнято остаточне рішення про початок роботи я виберу підрядника. Дякую за розуміння.  Необхідно розробити дизайн для презентації освітніх послуг колледжу  з презентаційними текстами на Українській мові.:  -2 рекламні спайдери  600х1600 мм -1 Стенд 2 000 х 3000 мм -1 промо-столик 910 х 1280 мм  -1 єврофлаєр  2 сторони повнокольоровий  100х210 мм  Для кожного дизайну необхідно створити: -Оригінал макет в кривих  -Візуалізацію, як буде виглядати промоматеріал (Ролап, Стенд, Столик)  -Підготувати до друку (вимоги до друку будуть надані додатково)  детальний бриф надам при",Дизайн выставочных стендов,uk
"На постійній основі потрібно виготовлення коротких відео роликів рекламного характеру на LED екрани, табло і т.п. по певному завданні. Ми даємо розмір розширення відеозображення, завдання, можливо матеріал замовника. Креативність Ваших ідей та пропозиції - вітаються! Наші проекти на https://www.youtube.com/user/ledtablo/videos Наша сторінка https://infobox.net.ua/ тел. 050 05 20 114 Володимир",Видеоинфографика,uk
"Банер для наружної реклами. Читабельний, за усіма правиламми. Простий. Потрібні декілька варіантів та можливіть внесення правок.  ціна - договірна",Баннеры,uk
"Потрібно доробити андроід додаток Додаток призначений для публікацій вакансій робіт закордоном(користувач в ролі замовника), пошук і вибір вакансії(користувач у ролі виконавця) API повністю готове додаток написаний на мові kotlin з використанням корутинів більше деталей вже при обговоренні з розробником P.S. потрібно доробити якомога швидше",Google Android,uk
"Якщо Ви шукаєте віддалену роботу, Ви досвідчений користувач ПК, маєте стабільний доступ в Інтернет, якщо Ви відповідальна, дисциплінована, організована людина, яка завжди виконує взяті на себе зобов'язання - ми будемо раді співпрацювати з Вами.   Умови роботи  - віддалена робота в міжнародній компанії; - повна зайнятість (9.00-18.00 сумісництво не розглядається); - безкоштовне навчання; - оплачуване стажування; - дружня і професійна атмосфера; - можливість повної самореалізації і кар'єрного росту; - стабільна оплата праці (залежить від виконаної роботи 2000-10000грн) на банківську карту  Обов'язки  Робота з базою таємних покупців - призначення візитів та контроль за їх виконанням; Допомога таємним покупцям при заповненні анкет, інструктажі; Пошук, залучення нових таємних покупців та робота з ними.",Менеджер по персоналу,uk
"Потрібно переробити сайт на даній платформі, а саме: оформити першу сторінку у форматі візитівки. Добавити декілька нових розділів. Виправити вже існуючі нестиковки, гарно це все оформити",Доработка сайтов,uk
"Шукаю PHP розробника з хорошим розумінням WP, для співпраці на постійній основі. Маст-хев: - Знання PHP, MySQL, для роботи з Wordpress, на рівні створення та редагування тем і плагінів - Досвід та розуміння роботи з ACF Pro та Woocommerce - Вміння читати чужий код",Веб-программирование,uk
"Реставрація старих фотографій Достатня кількість замовлень Шукаємо відповідальних професіоналів (реконструкція, складна реставрація, колоризація, монтаж і т д). Розуміння англійської, доступ в інтернет, вміння якісно і швидко відновлювати фотографії. Мистецька освіта вітається. Досвід в реставрації та портфоліо обов'язкові. Увага - це не ретуш ! Всі подробиці, тести і листування по e-mail m-reanimator@ukr.net. На сайті переписку не ведемо.",Ретуширование/Коллажи,uk
потрібно розробити  банер.акційний (два продукта за ціною одного),Баннеры,uk
"доброго дня,мені потрібно всього навсього обмалювати логотипи(нижче файли)за допомогою кривих лінії та тексту,для людини яка знає ілюстратор це не займе багато часу.будь ласка напишіть мені в телеграмі на номер +48690845814,дякую!",Логотипы,uk
"Вітаю, я веду кілька проектів по соцмережам для клієнтів. Час від часу клієнти просять приїхати відфоткати контент. Відповідно, потрібен фотограф, який міг би це робити :)  Пишіть, будь ласка, на пошту taras.zhukovskyi@gmail.com - із рейтами й прикладами робіт. Дякую!",Рекламная/Постановочная фотосъемка,uk
"На постійну основу потрібен відеомантажер! Створення, або переробка уже існуючих відео на тему ТОП 5 компаній(по типу ТОП 5 букмекерских контор, ТОП 5 кредитних організацій і т.д.)! Потрібно буде зробити для початку по 5-10 відео на кожну тему! Можлива власна розробка монтажера, або ж переробка існуючих відео інших ютуберів!  Розгляну будь-які пропозиції співпраці!",Видеомонтаж,uk
Зробити іконки для гри  ТЗ  https://docs.google.com/document/d/1U91zc7GOZ158z2pjdT-izGoIksFy7v9ODnTmFE3M67I/edit?usp=sharing,Рисунки и иллюстрации,uk
Добавлення товарних позицій на пром юа,Постинг,uk
"Потрібно створити сайт. Основні напрямки діяльності висвітлити (ми задаємо-ви наповнюєте), де основні контакти можуть залишати люди,посилання на профілі.",Сайт «под ключ»,uk
компанія працює в сфері Автобізнесу  http://ig-service.com.ua/  Залити інформацію про компанію. Провести налаштування реклами. Оптимізувати для ефективного залучення клієнтів.,Контекстная реклама,uk
Знання одного із php фреймворків (Yii or Laravel or ==) + Vue js.,Веб-программирование,uk
"Шукаю людину для ведення магазину на Етсі.  Обовязковим є досвід роботи, знання площадки, вміння підбирати теги і заголовки, робота з клієнтом.  Оплата - ставка + відсотки від продажу (по домовленості)  На повідомлення не відписую Прошу писати одразу на Viber  +48 698 006 325 Олег",Менеджер по продажам,uk
"Потрібно зробити серію картинок в одному стилі для постів ( в т.ч рекламних постів) у соцмережах (facebook, instagram). Кількість буде обговорюватися.",Инфографика,uk
"Сделать до 13.06 включительно Завдання 1.  Підібрати у ЗМІ відносно конкретного підприємства (за списком) не менше 5-ти ПР-повідомлень і проаналізувати їх на предмет використаних стилю, психологічних механізмів впливу на економічну поведінку ринкових суб’єктів, креативних підходів.   Завдання 2. Розробити креативний бриф від імені підприємства як основу для розробки ПР-кампанії. У брифі чітко сформулювати, яка проблема стоїть перед підприємством та які завдання потрібно вирішити з допомогою ПР-кампанії.  Завдання 3. На основі брифу розробити і оформити річний план проведення паблік рилейшнз кампанії підприємства. Розроблена ПР-кампанія має включати в себе заходи зовнішнього та внутрішнього ПР. Для цього потрібно: описати реальну комунікативну ситуацію існування підприємства на ринку та можливості здійснення паблік рилейшнз заходів з докладним розкриттям прогнозних наслідків їх застосування; знайти і описати певні факти діяльності підприємства, які можна використати у розробці паблік рилейшнз заходів; розпланувати заходи паблік рилейшнз з поясненням задіяних засобів масової інформації із зазначенням термінів їх проведення та розрахунком фінансових витрат; зазначити способи організації та контролю виконання плану. Для цього використати: факти діяльності підприємства; особливості позиціонування його продукції; результати аналізу комунікативної політики конкурентів та партнерів; результати аналізу ставлення до підприємства його цільових аудиторій та суспільства у обраному регіоні; потенційні можливості засобів масової інформації, що працюють у даному регіоні. При розробленні паблік рилейшнз кампанії використати не менше 3 засобів паблік рилейшнз для роботи з громадськістю та 2 засобів внутрішньофірмового ПР. Кожен засіб має бути детально розроблений та оформлений. Завдання 4. Проаналізувати імідж першого керівника та самого підприємства, визначити слабкі та сильні сторони. Розробити заходи ПР з поліпшення іміджу підприємства та його керівництва. Якщо це неможливо – розробити новий імідж з використанням основних положень теорії іміджелогії. Оцінити пропозиції. (Есе на тему, який має бути імідж керівника конкретного підприємства - 1 сторінка друкованого тексту 14-шрифт  1,5- інтервал).   Dominos Pizza - моё предприятие",PR-менеджмент,uk
"Потрібно зробити проект комоду Суть завдання: Є ескіз комоду. потрібно зробити прорахунок по матеріалах та розробити креслення для зборки.  Тобто мені потрібен файлик в якому я зможку вказати розмір комоду, мені прорахує розміри деталей, та отвори під кріплення.",Чертежи/Схемы,uk
"Створення оригінального сценарію з 2-х частин для подальшого виробництва 2-серійної радіодрами, хронометражем до 50 хв./серія, з метою виходу на радіоканалі «Радіо «Культура»",Сценарии,uk
"Потрібен Access спеціаліст для студ робіт, в основному під виконання курсових. Оплата за перші 2 замовлення по готовності, далі через аванс. Вказуйте 1. вартість бази даних на 8 таблиць, 8 форм та 8 звітів 2. вартість бази даних на 12 таблиць, форм та звітів 3. вартість бази даних на 20 таблиць форм та звітів 4. чи готові займатися онлайн допомогою 5. досвід з іншими СУБД",Базы данных,uk
"Агенція займається організацією відпочику на морі в одному районному центрі . Є сайт і сторінка на фейсбук, необхідно налаштувати рекламу на фейсбуці",Продвижение в социальных сетях (SMM),uk
"Доброго дня! Потрібні копірайтери в студію для плідного та довготривалого співробітництва. Оплата за 1к - 18 грн.  Спочатку потрібно написати тестове завдання - https://docs.google.com/document/d/1bTZXDYwdqcLe_1RjwOqS-W606dDfRXxHHI_VBJloQJ8/edit?usp=sharing Хто зацікавився - звертайтесь 0961029125 (вайбер, телеграм).",Копирайтинг,uk
"Підкажіть чи можете допомогти з дипломом, необхідно написати 3 розділ до 13.06 по менеджменту. Указывайте цену вашу. Работа будет только через сайт",Рефераты / Курсовые / Дипломы,uk
Шукаємо 3д дизайнера для візуалізацій обєктів а саме автомийки,3D Иллюстрации,uk
"Потрібно пройти реєстрацію, все детально поясню (займе 5-10 хвилин) Після чого - тримати сайт відкритим і натискати на ньому 2 кнопки кожні 15 хвилин (можливо і з телефону) - так протягом 5 днів",ТЗ/Help/Мануал,uk
Шукаю людину яка зможе запрограмувати кюпорприймач для терміналу під українську гривню(SR5i). Необхідно вивести роботу кюпюроприймача на екран + розробка дизайну для інтерфейсу.,Управление проектами разработки,uk
Потрібно розробити акційний банер для бренду натуральної косметики. Текст та фото надаємо. Від вас очікуємо ідею дизайну та втілення.,Дизайн сайта,uk
Потрібно розробити акційний банер для бренду натуральної косметики. Текст та фото надаємо. Від вас очікуємо ідею дизайну та втілення.,Баннеры,uk
"Відео знімаємо вертикально, загальною тривалістю від 20 до 40 секунд. У кадрі має бути  чітко видно екран телефону і відкритий сайт https://liki24.com/uk/ Наприклад: http://c2n.me/4ckpE19 Людина (за кадром), підбирає товар і оформляє замовлення на сайті.  Руки повинні бути доглянуті (без порізів, ран, пластирів, задирок, старого потрісканого лаку і т.д.) Процес пошуку товару, додавання в корзину, заповнення форми замовлення можна прискорити, а додавання свого номера телефону та адреси - вирізати. Звук записати окремо і накласти поверх відео, він повинен бути чітким, та нормальна чітка вимова на українській мові. У відео не використовуємо слова ""ліки"" або ""препарат"", тільки ""засіб"". Відеоматеріали будуть використовуватись в рекламі сервісу.  В коментарях до замовлення  вкажіть “Тест”, але цього моменту на готовому відео не повинно бути (вирізати).  Текст Терміново потрібні підгузки, але немає часу ходити по магазинах. Буду замовляти все на Liki24. [Екран мобільного телефону, відкритий сайт liki24.com] Тут все дуже просто, шукаю потрібні, додаю в кошик, оформляю замовлення. [Пошук по сайту ""joy"" - перехід на товар - додати в кошик (кнопка замовити) - натиснути на оформити замовлення] О, тут ще знижка на доставку / безкоштовна доставка, також стане в нагоді. [В блоці ""вигідна пропозиція"" https://clip2net.com/s/4ckpN9z пролистати 2-3 пропозиції, вибрати 1 більш-менш поширений товар, типу спазмалгон (не називаючи назву засобу), зі знижкою на доставку або з безкоштовною доставкою і додати в кошик] Вказую свої дані. [Вибираємо доставку кур'єром, починає вводити адресу, інші дані можна вирізати, показати скролінг вниз і натиснення на кнопку ""оформити замовлення""] Все, чекаю кур'єра з моїм замовленням. Ось так швидко, економно і можна все  знайти в одному місці - на Liki24 Переходьте, за посиланням, реєструйтеся і отримаєте 80 грн на перше замовлення.",Видеосъемка,uk
Потрібно прибрати всі доступні відгуки про фізичну особу за номером телефону. Оплата за домовленністю.,Защита информации,uk
створення програмногого продукта зв'язку для телекомунікаційних послуг. термін виконання роботи 1 тиждень.,Веб-программирование,uk
https://pg-pool.com/files/f11759fb602fd53e625c1.pdf Цікавить якісний переклад українською з форматуванням у вигляді вихідного файлу.,Технический перевод,uk
Потрібно виконати тести за пів голини оплата після перевірки залишайте номер телеграму,Прикладное программирование,uk
Зробити інтерфейс на панелі DELTA ELECTRONICS та пз для плк,Проектирование,uk
Обсяг не більше півтора аркуша А4 всі деталі я напишу,Статьи,uk
Всі деталі я скажу точніше напишу.,Статьи,uk
"Вітання, дорогий кандидат. Ми технологічна компанія, якій потрібні спеціалісти для залучення нових клієнтів.   Про нас: Займаємося розробкою веб сайтів, онлайн-магазинів та mobile applications  Вимоги: 3-6 годин кожен день на роботу B2 знання англійської Бажання розібратися в IT ринку і в тому які ліди нам потрібні  Обовязки: Надсилання холодних емейлів нашій цільовій аудиторії з метою залучити лідів Аналіз нашої ЦА - щоб зробити лідген максимально ефективним",CPA-маркетинг,uk
"Необхідно виконати розрахунок несучої здатності перекриттів, в межах однієї кімнати 7х12 м (Офісне приміщення, 5-й поверх).  Є здатність навантаження перекриття (наприклад, 800 кг / м2), є точкова і розподілене навантаження на площу, у вигляді виду з місцями і вагою обладнання.  Потрібно виконати розрахунок:  1) чи витримає перекриття дане навантаження? підтвердити розрахунком  2) рекомендації, якщо необхідно, по розподілу навантаження, облаштування розвантажувальної рами (наприклад).  Результати і методику розрахунку необхідно оформити у вигляді звіту.  Вихідні дані для розрахунку, для ознайомлення можу вислати по запиту.",Архитектура,uk
Потрібно розробити і оформити комерційну пропозицію з нуля. Компанія займається виготовлення торгових автоматів з продажу питної води. Пропозиції з ціною вкажіть будь ласка у коментарях.,Бизнес-планы,uk
"На сайті розміщувати новини, вести контент присвячений військовій та спортивної тематики.",Контент-менеджер,uk
"Потрібно створювати банери, ілюстрації та інші матеріали для веб-сайту",Дизайн сайта,uk
"Потрібно створювати флаєра, банери, та інші презентаційні зображення на сервісі Canva.  Працювати можна в будь якому графічному редакторі, однак потім потрібно всі слої завантажити в Canva",Баннеры,uk
Розробка ІС для автоматизації  роботи фітнес клубу  «Фітнес клуб»  Скорочений опис предметної області Фірма веде облік клієнтів (спортсменів) та робітників (тренерів). Формує групи закріплену за певним тренером. Створює графік відвідування занять для клієнтів та графік роботи тренерів. Мінімальний набір функціональних задач ІС :     1.  Підготувати списки груп клієнтів для кожного тренера     2.  Визначити найбільш популярних тренерів     3. Сформувати графік занятості тренерів та розклад проведення занять для груп відвідувачів.,Верстка,uk
"налаштувати Источники аудиторий (Тег гугл реклами , і гугл аналітики) Сайт на платформі пром! Ціна договірна тел. 0993086600 вайбер телеграм!",Контекстная реклама,uk
Потрібна рамка-розмальовка на шкільну тематику. Бюджет: 50 грн.,Рисунки и иллюстрации,uk
Шукаю wordpress developer який би допоміг внести правки в готову тему. Співпраця може бути довготиривала. І в майбутньому потребуватиме написання сайтів з нуля.,Веб-программирование,uk
Потрібно виконати невеличку самостійну роботу з 1С,1С программирование,uk
"Тема аналіз підприємства Дані всі надаю, бажаний обсяг 95 сторінок Унікальність 60% і вище Сроки до 11.06  Прошу писати хто знайомий з бухгалтерією",Бухгалтерия,uk
"1. Моніторинг динаміки акціонерних товариств в Україні за останні три роки (результати подати в таблицях та побудувати гістограми та діаграми). Виявити тенденцію зміни частки публічних та приватних АТ. Дослідити акціонерний капітал, засновників, емісію акцій, виплату дивідендів тощо.    2. Аналіз зміни емісії акцій та облігацій підприємств станом на 2018, 2019, 2020 рр. (результати подати в таблицях та побудувати гістограми та діаграми).    3. Дослідження на прикладі певної обраної корпорації:  - схема підпорядкованості та взаємодії виборних органів акціонерного товариства;  - дивідендна політика акціонерного товариства;  - аналіз Кодексу корпоративного управління та корпоративної культури корпорації.    Висновки  Використані джерела  Оригінальність вище 90% Обьем 13-15 страниц",Гуманитарные дисциплины,uk
"Доброго дня, потрібно зробити бота який буде брати дозвола на міжнародні вантажні перевезення на сайті https://e-transport.gov.ua/accounts/login/?next=/dashboard/ так як там вони обновляються з через деякий час в обмеженій кількості і хто успів той забрав, а сидіти і клікати 24/7 і чикати моменту сенсу і сил немає так як є компанії які вже зробили бота який бере потрібні дозвола за них.  Яка має бути оплата за цей проект не знаю тому буду чикати ваші пропозиції.",Веб-программирование,uk
Потрібно завтра в реальному часі виконати кр з Лінійної алгебри. Час 8:20. Писати в телеграм @boikoooooo,Репетиторы / Преподаватели,uk
"Потібен спеціаліст, котрий зможе зробити 700 заявок в місяць на працевлаштування в США.   Ціна цільової заявки не більше 2$. Місячний бюджет 1600$ - винагороду пропонуємо % від рекламного бюджету.   Цільова аудиторія і детальне ТЗ після того як відправите кейси реальні своїх робіт.  Канали реклами фейсбук,інстаграм, може бути гугл едвордс.  Сайти готові",CPA-маркетинг,uk
Отпишите в телеграм: @mo1eku1a  Розробити на базі мікроконтролера типу MCS 8051 пристрій індикації символу UNICODE.,Чертежи/Схемы,uk
"Завдання Створити два-три класи, що описують об’єкти із предметної області, вказаної в індивідуальному завданні. Кожен клас повинен містити: - не менше двох змінних-членів - функцію-член, яка повертає рядок із описом об’єкта - функцію-член, в якій здійснюється заповнення полів об’єкта певними значеннями (значення повинні бути аргументами функції) - довільну кількість інших функцій-членів з довільною функціональністю. Класи повинні задовільняти принципу інкапсуляції. В головній програмі необхідно - оголосити змінні та/або контейнери об'єктів різних класів - встановити всі об'єкти в коректний стан - вивести на екран інформацію про всі об'єкти - виконати декілька функцій об’єктів різних класів.  Варіант індивідуального завдання: 19. Прокат авто. Рекомендовані класи: авто, прокат",Базы данных,uk
"1.Створити запити мовою (SQL) для додання в таблицю “Дисципліни” полів: Дата здачі та Сума сплати (за перездачу дисципліни). (20 балів)  2.Робота з оснасткою системи “Службы компонентов”. Нужны скриншоты (20 балів)  3. За допомогою програмного середовища Borland C++ створити ієрархію класів відповідно до запиту. Запит: Імена службовців заданої професії.  Доповнити ієрархію класом “група”. Написати для класу-групи метод-ітератор. Написати функцію-запит, що виконується для всіх об'єктів, що входять у групу.  Нужны скриншоты кода/работы со службами компонентов.",Прикладное программирование,uk
"Робота с сервером, базами даних, многопоточністю, xml Виконати курсову роботу на мові програмування c# з використанням DB Browser (SQLite) та Putty  Модульне програмування, подійно-орієноване програмування з використанням TerminalGui  Завдання у файлі",Прикладное программирование,uk
"Радіолампа, яку ставлять в телевізор, може належати до однієї з 3 партій із ймовірностями 0,35, 0,5, 0,15. Ймовірності того, що лампа відпрацює задану кількість годин для кожної зі цих партій відповідно дорівнюють 0,15, 0,21 і 0,45. Знайти ймовірність того, щолампа відпрацює задану кількість годин.",Репетиторы / Преподаватели,uk
Потрібно створити 15 стікерів для телеграму,Логотипы,uk
"Розробити програмне забезпечення для Raspberry Pi для взаємодії з Arduino Зв'язок з Arduino відбувається по UART інтерфейсу, забезпечити роботу з USB-накопичувачем, Wi-Fi , Bluetooth",Встраиваемые системы,uk
"Для наповнення сайту потрібен якісний рерайт 20 статей англійською мовою.  Будь ласка, надайте приклади статей написаних вами англійською.",Копирайтинг,uk
"Для роботи над існуючим проєктом потрібен .NET розробник, з досвідом роботи 3+ років. Робота 35-40 годин в тиждень.  Робота віддалена.  Зарплата договірна.",Веб-программирование,uk
є веб сайт інтернет магазину потрібно зробити реєстрацію на ньому,Доработка сайтов,uk
"Необхідно написати короткий опис(відгук) про компанію Вартість одного розгорнутого відгуку - 20 грн. Вимоги: 1) Відгук повинен бути зроблений не з нового акаунту gmail. Акаунт ""Експерт"" - в ідеалі 2) Вік – від 30 років(бажано)  Деталі ТЗ надішлю  P.S. Вказуйте регіон для того, щоб завдання було саме для вашого регіону",Копирайтинг,uk
Потрібно перекласти інструкцію електроприладу з української на польську мову 14 сторінок Ціна договірна Деталі в приватних повідомленнях,Технический перевод,uk
"Сделать до 09.06.2021 Спроектувати та реалізувати на мові С# програмне забезпечення  накопичення та обробки даних домену відповідно заданого варіанту:   Готель: сервіс бронювання номерів в готелі  Функціональні вимоги до програмного забезпечення   1. Управління готелями:   1.1. Можливість додавати готель   1.2. Можливість видаляти готель   1.3. Можливість перегляду готелю   1.4. Можливість перегляду всіх готелів: опис і кількість місць   1.5. Добавлення заявки на замовлення певного номера на певний термін  1.6. Можливість видалення заявки на замовлення певного номера   1.7. Можливість замінити текст заявки на замовлення певного номера в готелі   1.8. Можливість переглянути даних заявок на замовлення номерів в готелі за певний  термін.   2. Управління клієнтами   2.1. Можливість добавлення клієнтів   2.2. Можливість видалення клієнтів   2.3. Можливість змінення даних про клієнтів   2.4. Можливість переглянути дані про конкретного клієнта   2.5. Можливість переглянути дані про всіх клієнтів   2.6. Можливість відсортувати список по імені   2.7. Можливість відсортувати список по прізвищу   3. Управління замовленнями номерів   3.1. Можливість замовити клієнтом номер в певному готелі.  3.2. Можливість відмінити замовити клієнтом номер в певному готелі.   3.3.Можливість переглянути дані конкретного замовлення номера в певному готелі.   3.4. Можливість переглянути дані про кількість заброньованих місць в готелі, і які саме   3.5. Можливість переглянути дані про кількість вільних місць в готелі, і які саме.   3.6. Можливість переглянути дані про вартість послуг замовлення номерів з урахування  вартості на один день.   3.7. Можливість переглянути дані про клієнтів, які забронювали номери в готелі.   4. Пошук   4.1. Можливість пошуку по ключовому слову серед готелів   4.2. Можливість пошуку по ключовому слову серед клієнтів 1. В якості типу застосування обрати консольне застосування з командним рядком, як  виняток, win forms, wpf.   2. Спроектувати та реалізувати систему класів, в основу якої покладено логічну структуру  даних, наведену у варіанті, для накопичення та обробки даних домену відповідно  варіанту курсової роботи.   3. Структура програмної системи курсового проекту:   Код програмної системи має складатись не менш як з трьох частин (окремих проектів)  відповідно до багатошарової архітектури системи, де шарами архітектури є: шар  (рівень) доступу до даних (DAL), шар бізнес-логіки (BLL), шар представлення (інтерфейс  програмної системи) (PL). Тип програмного модулю – DLL.   Шар доступу до даних організувати таким чином, щоб він забезпечував збереження  даних у файлах за допомогою серіалізації або у БД із застосуванням Entity Framework.  Тип програмного модулю – DLL.   В шарі бізнес-логіки побудувати класи, що представляють об’єкти та дії над ними  відповідно до предметної області, наприклад, читачі, книги та абонементи, читач може  взяти книгу на свій абонемент при її наявності у сховищі та повернути її у заданий",Базы данных,uk
